Nescafe Coffee@123
Asia7 Spice!
ibaco IceCr3am?
popeyfloes Popeyes#1
Kaithai ThaiFood!
udupihotel SouthInd1@
krispykreme SweetTreats7
pakwan Pak1stan!
burgerking Burger&Fries
thalappakatti TastyIdlis4u
pizzahut PizzaL0ver!
ovenstory OvenPizza!
tacobell TacoTime@
mcdonalds MickyD4Life
dominos DominoEf3ct
bazaar MarketF1nds
bilal SpicyBiryani!
a2b QuickBites1
barbequenation BBQnFun!
kfc FriedChick3n
muruganidlishop IdliDosa1
farzicafe FancyF0od!
flowerdrum OrientalDish1
jhind IndianSpices!
pind Punj@biFood
steamwhistles SteamyF00d
subway SubS@ndwich
